"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
birthday,personenangaben,,text,"Ihr Geburtsdatum",,,date_dmy,1900-01-01,2050-01-01,,,,,,,," @PLACEHOLDER = ""Tag.Monat.Jahr"""
hw_embed,personenangaben,,descriptive,"<div class=""rich-text-field-label""><p>Wie groß sind Sie und wie viel wiegen Sie ?</p> <table style=""border-collapse: collapse; width: 100%; height: 84px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 16.8354%; height: 21px; border-style: hidden;""> </td> <td style=""width: 49.8312%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Größe (cm)</span></td> <td style=""width: 33.3333%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Gewicht (kg)</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 16.8354%; height: 21px; border-style: hidden;"">Sie :</td> <td style=""width: 49.8312%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{height}</span></td> <td style=""width: 33.3333%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{weight}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 16.8354%; height: 21px; border-style: hidden;"">Ihr Partner :</td> <td style=""width: 49.8312%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{height_partner}</span></td> <td style=""width: 33.3333%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{weight_partner}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
height,personenangaben,,text,"Wie groß sind Sie?",,"in cm",number,50,250,,,,,,,," @PLACEHOLDER = "" cm"""
height_partner,personenangaben,,text,"Wie groß ist ihr Partner?",,"in cm",number,50,250,,,,,,,," @PLACEHOLDER = "" cm"""
weight,personenangaben,,text,"Wieviel wiegen Sie?",,"in kg (Trennzeichen: '.')",number,10,250,,,,,,,," @PLACEHOLDER = "" kg"""
weight_partner,personenangaben,,text,"Wieviel wiegt ihr Partner?",,"in kg (Trennzeichen: '.')",number,10,250,,,,,,,," @PLACEHOLDER = "" kg"""
hw_embed_2,personenangaben,,descriptive,"<div class=""rich-text-field-label""><p>Wie groß ist Ihr Kind und wie viel wiegt es? </p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 9.94935%; border-style: hidden;""> </td> <td style=""width: 40.0507%; border-style: hidden;""><span style=""font-weight: normal;"">Größe (cm)</span></td> <td style=""width: 25%; border-style: hidden;""><span style=""font-weight: normal;"">Gewicht (kg)</span></td> </tr> <tr> <td style=""width: 9.94935%; border-style: hidden;"">Ihr Kind :</td> <td style=""width: 40.0507%; border-style: hidden;""><span style=""font-weight: normal;"">{height_child}</span></td> <td style=""width: 25%; border-style: hidden;""><span style=""font-weight: normal;"">{weight_child}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
height_child,personenangaben,,text,"Wie groß ist ihr Kind?",,"in cm",number,50,250,,,,,,,," @PLACEHOLDER = "" cm"""
weight_child,personenangaben,,text,"Wieviel wiegt ihr Kind?",,"in kg (Trennzeichen: '.')",number,10,250,,,,,,,," @PLACEHOLDER = "" kg"""
expecting_embed,personenangaben,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 100%; height: 132px;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 33.5022%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Sie bekommen demnächst :</span></td> <td style=""width: 66.4978%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{expecting}</span></td> </tr> <tr style=""height: 44px;""> <td style=""width: 33.5022%; border-style: hidden; height: 44px;""><span style=""font-weight: normal;"">Erster Tag der letzten Menstruation :</span></td> <td style=""width: 66.4978%; border-style: hidden; height: 44px;""><span style=""font-weight: normal;"">{last_period}</span></td> </tr> <tr style=""height: 44px;""> <td style=""width: 33.5022%; border-style: hidden; height: 44px;""><span style=""font-weight: normal;"">Jetzige Schwangerschaftswoche:</span></td> <td style=""width: 66.4978%; border-style: hidden; height: 44px;""><span style=""font-weight: normal;"">{pregnancy_week}. Woche</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 33.5022%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Vermutlicher Geburtstermin :</span></td> <td style=""width: 66.4978%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{expected_birthdate}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
expecting,personenangaben,,radio,"Sie bekommen demnächst:","1, ein Kind | 2, mehrere Kinder | -99, Fehlende Antwort",,,,,,,,RH,,,,
last_period,personenangaben,,text,"Erster Tag der letzten Menstruation:",,,date_dmy,1900-01-01,2050-01-01,,,,,,,," @PLACEHOLDER = ""Tag-Monat-Jahr"""
pregnancy_week,personenangaben,,text,"Jetzige Schwangerschaftswoche:",,,integer,0,100,,,,,,,," @PLACEHOLDER = 'Woche'"
expected_birthdate,personenangaben,,text,"Vermutlicher Geburtstermin:",,,date_dmy,1900-01-01,2050-01-01,,,,,,,," @PLACEHOLDER = ""Tag-Monat-Jahr"""
smoking_embed,personenangaben,,descriptive,"<div class=""rich-text-field-label""><p>Rauchen Sie Zurzeit oder haben Sie in den letztetn 6 Monaten geraucht ?</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 15.2677%; border-style: hidden;""><span style=""font-weight: normal;"">Sie :</span></td> <td style=""width: 84.7323%; border-style: hidden;""><span style=""font-weight: normal;"">{smoking}</span></td> </tr> <tr> <td style=""width: 15.2677%; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Partner :</span></td> <td style=""width: 84.7323%; border-style: hidden;""><span style=""font-weight: normal;"">{smoking_partner}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
smoking,personenangaben,,radio,"Rauchen Sie zurzeit?","0, Nein | 1, Ja, gelegentlich | 2, Ja, täglich | -99, Fehlende Antwort",,,,,,,,LH,,,,
smoking_partner,personenangaben,,radio,"Raucht Ihr Partner zurzeit?","0, Nein | 1, Ja, gelegentlich | 2, Ja, täglich | -99, Fehlende Antwort",,,,,,,,LH,,,,
smoking_amount_embed,personenangaben,,descriptive,"<div class=""rich-text-field-label""><p>Wenn Sie täglich rauchen, wie viele Zigaretten rauchen Sie pro Tag?</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 14.8336%; border-style: hidden;""><span style=""font-weight: normal;"">Sie :</span></td> <td style=""width: 85.1664%; border-style: hidden;""><span style=""font-weight: normal;"">{smoking_amount}</span></td> </tr> <tr> <td style=""width: 14.8336%; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Partner :</span></td> <td style=""width: 85.1664%; border-style: hidden;""><span style=""font-weight: normal;"">{smoking_partner_amount}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
smoking_amount,personenangaben,,radio,"Wie viele Zigaretten rauchen Sie pro Tag?","1, 1-5 täglich | 2, 6-10 täglich | 3, 11-15 täglich | 4, 16-20 täglich | 5, über 20 | -99, Fehlende Antwort",,,,,,[smoking]>0,,LH,,,,
smoking_partner_amount,personenangaben,,radio,"Wie viele Zigaretten raucht Ihr Partner pro Tag?","1, 1-5 täglich | 2, 6-10 täglich | 3, 11-15 täglich | 4, 16-20 täglich | 5, über 20 | -99, Fehlende Antwort",,,,,,[smoking_partner]>0,,LH,,,,
smoking_presence,personenangaben,,radio,"Wird in Ihrer Gegenwart geraucht? ","0, Nein | 1, Ja, gelegentlich | 2, Ja, täglich | -99, Fehlende Antwort",,,,,,,,LH,,,,
smoking_child_presence,personenangaben,,radio,"Wird in der Gegenwart des Kindes in der Wohnung geraucht? ","4, Täglich | 3, Mehrmals pro Woche | 2, Einmal pro Woche | 1, Seltener | 0, Nie | -99, Fehlende Antwort",,,,,,,,LH,,,,
smoking_while_pregnancy,personenangaben,,radio,"Hat die Mutter des Kindes während der Schwangerschaft geraucht?","2, Ja regelmäßig | 1, Ja, ab und zu | 0, Nein, nie | -99, Fehlende Antwort",,,,,,,,LH,,,,
drinking_while_pregnancy,personenangaben,,radio,"Hat die Mutter des Kindes während der Schwangerschaft Alkohol getrunken?","2, Ja regelmäßig | 1, Ja, ab und zu | 0, Nein, nie | -99, Fehlende Antwort",,,,,,,,LH,,,,
drinking,personenangaben,,radio,"Haben Sie seit Bekanntwerden Ihrer Schwangerschaft Alkohol getrunken? ","0, Nein, nie | 1, Ja, ab und zu | 2, Ja, regelmäßig | -99, Fehlende Antwort",,,,,,,,LH,,,,
chronic_desease_embed,personenangaben,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 88px;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 100%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Leiden Sie an chronischen Erkrankungen ?</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 100%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{chronic_desease}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 100%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Wenn ja, Welche ?</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 100%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{chronic_desease_param}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
chronic_desease,personenangaben,,radio,"Leiden Sie an chronischen Erkrankungen?","0, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,LH,,,,
chronic_desease_param,personenangaben,,checkbox,"Welche chronischen Krankheiten genau?","1, Bluthochdruck | 2, Hypo- / Hyperthyreose | 3, Nierenerkrankungen | 4, Colitis ulcerosa | 5, Morbus Bechterew | 6, HIV / AIDS | 7, Hepatitis B oder C | 8, Asthma / Emphysem | 9, Diabetes mellitus | 10, Morbus Crohn | 11, Lupus erythematodes | 12, Rheumatoide Arthritis | 13, Anämie | 14, andere... {chronic_desease_param_free} | -99, Fehlende Antwort",,,,,,,,,,,,
chronic_desease_param_free,personenangaben,,text,"Bitte genauer spezifizieren",,"andere chronische Krankheiten",,,,,,,,,,,
psych_embed,personenangaben,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 88px;"" border=""1""> <tbody> <tr style=""height: 44px;""> <td style=""width: 50%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">Wurden Sie jemals aufgrund psychischer Beschwerden behandelt ?</span></td> <td style=""width: 50%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">{psych}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 50%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Wenn Ja, aus welchem Beweggrung ?</span></td> <td style=""width: 50%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{psych_why}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 50%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Wenn Ja, wurde eine Diagnose gestellt ?</span></td> <td style=""width: 50%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{psych_diagnosis}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
psych,personenangaben,,radio,"Wurden Sie jemals aufgrund psychischer Beschwerden behandelt?","0, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,,,,,
psych_why,personenangaben,,text,"Aus welchen Gründen wurden Sie psychisch behandelt?",,,,,,,,,,,,,
psych_diagnosis,personenangaben,,text,"Wurde bei der psychologischen Behandlung eine Diagnose gestellt?",,,,,,,,,,,,,
psych_partner_embed,personenangaben,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 88px;"" border=""1""> <tbody> <tr style=""height: 44px;""> <td style=""width: 43.7771%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">Wurde Ihr Partner jemals aufgrund psychischer Beschwerden behandelt ?</span></td> <td style=""width: 56.2229%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">{psych_partner}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 43.7771%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Wenn Ja, aus welchem Beweggrung ?</span></td> <td style=""width: 56.2229%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{psych_why_partner}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 43.7771%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Wenn Ja, wurde eine Diagnose gestellt ?</span></td> <td style=""width: 56.2229%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{psych_diagnosis_partner}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
psych_partner,personenangaben,,radio,"Wurde Ihr Partner jemals aufgrund psychischer Beschwerden behandelt?","0, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,,,,,
psych_why_partner,personenangaben,,text,"Aus welchen Gründen wurde Ihr Partner psychisch behandelt?",,,,,,,,,,,,,
psych_diagnosis_partner,personenangaben,,text,"Wurde bei der psychologischen Behandlung Ihres Partners eine Diagnose gestellt?",,,,,,,,,,,,,
therapy_embed,personenangaben,,descriptive,"<div class=""rich-text-field-label""><p>Nehmen Sie oder Ihr Partner momentan ein therapeutisches Angebot wahr ?</p> <table style=""border-collapse: collapse; width: 100%; height: 42px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 17.4385%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Sie :</span></td> <td style=""width: 82.5615%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{therapy}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.4385%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Partner :</span></td> <td style=""width: 82.5615%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{therapy_partner}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
therapy,personenangaben,,radio,"Nehmen Sie momentan ein therapeutisches Angebot wahr?","0, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,,,,,
therapy_partner,personenangaben,,radio,"Nimmt Ihr Partner momentan ein therapeutisches Angebot wahr?","0, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,,,,,
relationship,soziodemographie_und_lebenssituation,"SOZIODEMOGRAPHIE & AKTUELLE  LEBENSSITUATION

Nun möchten wir Ihnen einige Fragen zu Ihrer sozioökonomischen sowie aktuellen Lebenssituation
stellen:",radio,"Leben Sie in einer festen Beziehung?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
partnerisfather,soziodemographie_und_lebenssituation,,radio,"Wenn Ja, ist der Partner der Kindsvater?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,"[relationship] = '1'",,LH,,,,"-99, Fehlende Antwort|-88, Erlaubt fehlende Antwort|1, Ja|0, Nein"
familysituation,soziodemographie_und_lebenssituation,,radio,"Wie ist die familiäre Situation?","1, getrennt lebend | 2, zusammen lebend | -99, Fehlende Antwort",,,,,,,,LH,,,,
relationship_happiness,soziodemographie_und_lebenssituation,,radio,"Wie glücklich würden Sie Ihre Beziehung im Moment einschätzen?","5, sehr glücklich | 4, glücklich | 3, eher glücklich | 2, eher unglücklich | 1, unglücklich | 0, sehr unglücklich | -99, Fehlende Antwort",,,,,,"[relationship] = '1'",,LH,,,,
relation_happy_0_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 40.708%; border-style: hidden;""><span style=""font-weight: normal;"">Sie haben viele Konflikte mit Ihrem Partner.</span></td> <td style=""width: 59.292%; border-style: hidden;""><span style=""font-weight: normal;"">{relation_happy_01}</span></td> </tr> <tr> <td style=""width: 40.708%; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Partner versteht Sie.</span></td> <td style=""width: 59.292%; border-style: hidden;""><span style=""font-weight: normal;"">{relation_happy_02}</span></td> </tr> <tr> <td style=""width: 40.708%; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Partner erwartet zu viel von Ihnen.</span></td> <td style=""width: 59.292%; border-style: hidden;""><span style=""font-weight: normal;"">{relation_happy_03}</span></td> </tr> <tr> <td style=""width: 40.708%; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Partner zeigt Ihnen genug Zuneigung.</span></td> <td style=""width: 59.292%; border-style: hidden;""><span style=""font-weight: normal;"">{relation_happy_04}</span></td> </tr> <tr> <td style=""width: 40.708%; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Partner engagiert sich für Ihre Beziehung.</span></td> <td style=""width: 59.292%; border-style: hidden;""><span style=""font-weight: normal;"">{relation_happy_05}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[relationship] = '1'",,,,,,
relation_happy_01,soziodemographie_und_lebenssituation,,radio,"Sie haben viele Konflikte mit Ihrem Partner.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,relation_happy_0,,
relation_happy_02,soziodemographie_und_lebenssituation,,radio,"Ihr Partner versteht Sie.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,relation_happy_0,,
relation_happy_03,soziodemographie_und_lebenssituation,,radio,"Ihr Partner erwartet zu viel von Ihnen.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,relation_happy_0,,
relation_happy_04,soziodemographie_und_lebenssituation,,radio,"Ihr Partner zeigt Ihnen genug Zuneigung.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,relation_happy_0,,
relation_happy_05,soziodemographie_und_lebenssituation,,radio,"Ihr Partner engagiert sich für Ihre Beziehung.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,relation_happy_0,,
household_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 100%; height: 85px;"" border=""1""> <tbody> <tr class=""toggle-soziodemographie_und_lebenssituation"" style=""height: 21px;"" valign=""top""> <td style=""border-style: hidden; width: 91.5431%; height: 21px;"" colspan=""5""><span style=""font-weight: normal;"">Mit wem leben Sie in einem Haushalt?</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 91.5431%; border-style: hidden; height: 21px;"" colspan=""5""><span style=""font-weight: normal;"">{household}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 24.4937%; border-style: hidden; height: 43px;""><span style=""font-weight: normal;"">Gesamthaushalt :</span></td> <td style=""width: 10.6728%; border-style: hidden; height: 43px;""><span style=""font-weight: normal;"">{household_children}</span></td> <td style=""width: 29.5766%; border-style: hidden; height: 43px;""><span style=""font-weight: normal;"">Anzahl Kinder,</span></td> <td style=""width: 21.2736%; border-style: hidden; height: 43px;""><span style=""font-weight: normal;"">{household_adults}</span></td> <td style=""width: 5.52634%; border-style: hidden; height: 43px;""><span style=""font-weight: normal;"">Anzahl Erwachsener</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
household,soziodemographie_und_lebenssituation,,checkbox,"Mit wem leben Sie in einem Haushalt?","1, Allein | 2, mit Partner/in | 4, mit Kind/ern | 8, anderen (Familie oder Freunde) | -99, Fehlende Antwort","Mehrfachnennung möglich",,,,,,,,,,,
household_children,soziodemographie_und_lebenssituation,,text,"Wie viele Kinder leben in Ihrem Haushalt?",,,integer,-100,25,,,,,,,,
household_total,soziodemographie_und_lebenssituation,,text,"Wie viele Personen leben insgesamt in der Wohnung, in der Ihr Kind hauptsächlich lebt?",,,integer,-100,25,,,,,,,,
household_adults,soziodemographie_und_lebenssituation,,text,"Wie viele Erwachsene leben in Ihrem Haushalt?",,,integer,-100,25,,,,,,,,
area_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 45.0796%; border-style: hidden;""><span style=""font-weight: normal;"">Wo leben Sie aktuell mit Ihrer Familie/Kind(ern)?</span></td> <td class=""vwrap"" style=""width: 54.9204%; border-style: hidden;""><span style=""font-weight: normal;"">{area}</span></td> </tr> <tr class=""toggle-soziodemographie_und_lebenssituation"" valign=""top""> <td style=""width: 45.0796%; border-style: hidden;""><span style=""font-weight: normal;"">Wie lauten die ersten vier Ziffern Ihrer Postleitzahl?</span></td> <td style=""width: 54.9204%; border-style: hidden;""><span style=""font-weight: normal;"">{postal_code}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
area,soziodemographie_und_lebenssituation,,radio,"Wo leben Sie aktuell mit Ihrer Familie/Kind(ern)?","1, in der Stadt | 2, in einem Stadtrandgebiet | 3, auf dem Land/ländlich | -99, Fehlende Antwort",,,,,,,,LV,,,,
postal_code,soziodemographie_und_lebenssituation,,text,"Wie lauten die ersten vier Ziffern Ihrer Postleitzahl?",,,integer,,,,,,,,,,
employment_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p>Welcher der folgenden Angaben zur Berufstätigkeit trifft auf Sie zu?</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 47.4926%; border-style: hidden;""><span style=""font-weight: normal;"">Sie</span></td> <td style=""width: 52.5074%; border-style: hidden;""><span style=""font-weight: normal;"">Ihres Partner</span></td> </tr> <tr class=""toggle-soziodemographie_und_lebenssituation"" valign=""top""> <td class=""vwrap"" style=""width: 47.4926%; border-style: hidden;""><span style=""font-weight: normal;"">{employment}</span></td> <td style=""width: 52.5074%; border-style: hidden;""><span style=""font-weight: normal;"">{employment_partner}</span></td> </tr> <tr> <td style=""width: 47.4926%; border-style: hidden;""><span style=""font-weight: normal;"">Wie viel Stunden pro Woche ?</span></td> <td style=""width: 52.5074%; border-style: hidden;""><span style=""font-weight: normal;"">Wie viel Stunden pro Woche ?</span></td> </tr> <tr> <td style=""width: 47.4926%; border-style: hidden;""><span style=""font-weight: normal;"">{employment_hours}</span></td> <td style=""width: 52.5074%; border-style: hidden;""><span style=""font-weight: normal;"">{employment_hours_partner}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
employment,soziodemographie_und_lebenssituation,,checkbox,"Welcher der folgenden Angaben zur Berufstätigkeit trifft auf Sie zu?","1, voll berufstätig | 2, Auszubildender (z.B. Lehrling) | 4, Student | 8, nicht berufstätig (Hausfrau, Rentner,..) | 16, arbeitslos | 32, vorübergehende Freistellung (z.B. Erziehungsurlaub) | 64, Teilzeit oder stundenweise berufstätig | -99, Fehlende Antwort",,,,,,,,,,,,
employment_hours,soziodemographie_und_lebenssituation,,text,"Wie viele Stunden pro Woche gehen Sie Ihrer beruflichen Tätigkeit nach?",,"Trennzeichen: '.' z.B. '38.5' nicht '38,5'",number,-100,200,,,,,,,,
